,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
12:12.6,1.6580526,1.014478117,0.912089642,1.1479406,1.3055611,0.548063675,0.536310125,0.9045033,1.0117815,0.6835981,0.71016022,0.72751683,0.5569338,0.239284962,0.114562184,0.3733347,-0.033956926,-0.462280729,-0.578734753,-0.4122283,0
12:12.7,1.6580526,1.009674325,0.935803573,1.1479406,1.3055611,0.592840458,0.481001138,0.9045033,1.0117815,0.6835981,0.667914521,0.72751683,0.5569338,0.258235826,0.091235431,0.3733347,-0.033956926,-0.462965149,-0.542037586,-0.4122283,0
12:12.8,1.6580526,1.002408931,0.996097794,1.1479406,1.3055611,0.629365375,0.460395191,0.9045033,1.0117815,0.6835981,0.659104319,0.72751683,0.5569338,0.27247522,0.07598865,0.3733347,-0.033956926,-0.461685041,-0.511149305,-0.4122283,0
12:12.9,1.6580526,1.001535827,1.071182483,1.1479406,1.3055611,0.656205975,0.48855588,0.9045033,1.0117815,0.683908626,0.712659229,0.72751683,0.5569338,0.283533042,0.071950187,0.3733347,-0.033956926,-0.458886773,-0.495403334,-0.4122283,0
12:13.0,1.6580526,1.018962539,1.165103186,1.1479406,1.3055611,0.684947894,0.58855107,0.9045033,1.0117815,0.692296393,0.846415272,0.72751683,0.5569338,0.294578112,0.079157614,0.3733347,-0.033956926,-0.453402011,-0.493330484,-0.4122283,0
12:13.1,1.6580526,1.059872275,1.230188238,1.1479406,1.3055611,0.71777709,0.700919923,0.9045033,1.0117815,0.730934319,0.931149403,0.72751683,0.5569338,0.299357413,0.090619827,0.3733347,-0.033956926,-0.448964933,-0.500905786,-0.4122283,0
12:13.2,1.6580526,1.102318167,1.262993158,1.1479406,1.3055611,0.751060982,0.770377429,0.9045033,1.0117815,0.766392213,0.946033511,0.72751683,0.5569338,0.29906945,0.097569662,0.3733347,-0.033956926,-0.447977734,-0.505611527,-0.4122283,0
12:13.3,1.6580526,1.142522617,1.283890729,1.1479406,1.3055611,0.785379781,0.816264388,0.9045033,1.0117815,0.785548185,0.947332354,0.72751683,0.5569338,0.296879359,0.100598368,0.3733347,-0.033956926,-0.449355943,-0.505559978,-0.4122283,0
12:13.4,1.6580526,1.1636968,1.2930638,1.1479406,1.3055611,0.80475074,0.8359134,0.9045033,1.0117815,0.7907929,0.9480291,0.72751683,0.5569338,0.29520562,0.10091553,0.3733347,-0.033956926,-0.4508968,-0.50369996,-0.4122283,0
12:13.5,1.6580526,1.178980825,1.303143725,1.1479406,1.3055611,0.822357185,0.848320912,0.9045033,1.0117815,0.7907929,0.9480291,0.72751683,0.5569338,0.290588958,0.097800132,0.3733347,-0.033956926,-0.45356524,-0.49520909,-0.4122283,0
12:13.6,1.6580526,1.181847011,1.308571111,1.1479406,1.3055611,0.831007811,0.855146385,0.9045033,1.0117815,0.7907929,0.9480291,0.72751683,0.5569338,0.278994441,0.092874289,0.3733347,-0.033956926,-0.456914101,-0.482832947,-0.4122283,0
12:13.7,1.6580526,1.153700311,1.303232506,1.1479406,1.3055611,0.818361504,0.858199999,0.9045033,1.0117815,0.790786257,0.9480291,0.72751683,0.5569338,0.232877426,0.082288618,0.3733347,-0.033956926,-0.464482487,-0.455287493,-0.4122283,0
12:13.8,1.6580526,1.0882913,1.28737956,1.1479406,1.3055611,0.770687512,0.860128286,0.9045033,1.0117815,0.789199766,0.9480291,0.72751683,0.5569338,0.149724654,0.0742571,0.3733347,-0.033956926,-0.4741979,-0.426718136,-0.4122283,0
