,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
00:42.6,0.70756674,0.94726434,0.656620274,0.21330936,0.36472204,0.481983344,0.286662455,0.049909603,0.30159035,0.634948675,0.281773247,0.2928549,0.15740646,0.110704835,0.015005384,0.49012846,-0.26383284,-0.368408713,-0.46099733,0.32433802,1
00:42.7,0.70756674,0.973836769,0.652741763,0.21330936,0.36472204,0.49123795,0.285468575,0.049909603,0.30159035,0.6334085,0.26520549,0.2928549,0.15740646,0.106763163,0.003189207,0.49012846,-0.26383284,-0.382439468,-0.468957877,0.32433802,1
00:42.8,0.70756674,0.988581857,0.675439088,0.21330936,0.36472204,0.491144418,0.326126529,0.049909603,0.30159035,0.6334085,0.259653818,0.2928549,0.15740646,0.105334681,0.001170897,0.49012846,-0.26383284,-0.392984354,-0.47981278,0.32433802,1
00:42.9,0.70756674,0.989129937,0.694887409,0.21330936,0.36472204,0.487052283,0.325414371,0.049909603,0.30159035,0.6334085,0.263914587,0.2928549,0.15740646,0.105464426,-0.006466395,0.49012846,-0.26383284,-0.395875668,-0.50919337,0.32433802,1
00:43.0,0.70756674,0.984838419,0.705497747,0.21330936,0.36472204,0.483744161,0.305073213,0.049909603,0.30159035,0.6334085,0.266788558,0.2928549,0.15740646,0.104608803,-0.014232481,0.49012846,-0.26383284,-0.394073951,-0.542463208,0.32433802,1
00:43.1,0.70756674,0.979636944,0.719583432,0.21330936,0.36472204,0.483116743,0.280765486,0.049909603,0.30159035,0.6334085,0.271533182,0.2928549,0.15740646,0.102211048,-0.01807729,0.49012846,-0.26383284,-0.387123052,-0.569439249,0.32433802,1
00:43.2,0.70756674,0.974896861,0.739656465,0.21330936,0.36472204,0.485040858,0.260465765,0.049909603,0.30159035,0.6334085,0.278368366,0.2928549,0.15740646,0.097573606,-0.020528233,0.49012846,-0.26383284,-0.377492167,-0.588590308,0.32433802,1
00:43.3,0.70756674,0.970218891,0.752347844,0.21330936,0.36472204,0.486609489,0.23956512,0.049909603,0.30159035,0.6334085,0.2822157,0.2928549,0.15740646,0.088740996,-0.030510031,0.49012846,-0.26383284,-0.370153553,-0.603008486,0.32433802,1
00:43.4,0.70756674,0.964601384,0.729714239,0.21330936,0.36472204,0.481757746,0.179091622,0.049909603,0.30159035,0.6334085,0.279347523,0.2928549,0.15740646,0.068720791,-0.072049096,0.49012846,-0.26383284,-0.369901526,-0.62220798,0.32433802,1
00:43.5,0.660604348,0.960820142,0.664921583,0.21330936,0.330629023,0.47320013,0.075129452,0.049909603,0.333427638,0.632643642,0.204642091,0.2928549,0.240718452,0.049038548,-0.125210252,0.49012846,-0.240219032,-0.375261156,-0.637005893,0.32433802,1
00:43.6,0.594857,0.956064915,0.665689292,0.21330936,0.2828988,0.466832373,0.062462362,0.049909603,0.37799984,0.631034532,0.199069002,0.2928549,0.35735524,0.028859385,-0.142057093,0.49012846,-0.2071597,-0.383344763,-0.647074658,0.32433802,1
